generation,algorithm,fitness_mode,fitness_priority,fitness_score,primary_fitness,weighted_error,missing_jackpot,jackpot_spins,jackpot_probability,symbol_concentration,win_rate_shortfall,rtp_error,rtp,win_rate
35,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
36,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
37,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
38,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
39,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
40,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
41,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
42,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
43,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
44,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
45,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
46,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
47,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.9861111111111114, 14.027777777777784, 1, 5.438596491228071)",22.452485380116965,22.452485380116965,1,0,0.0,0.35185185185185186,0.14027777777777783,0.029861111111111116,0.9201388888888888,0.4097222222222222
48,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(2.972800925925934, 19.409722222222225, 0, 5.789473684210528)",28.171996832358687,28.171996832358687,0,5,0.0028935185185185184,0.36111111111111116,0.19409722222222225,0.039728009259259345,0.9897280092592593,0.3559027777777778
49,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(2.972800925925934, 19.409722222222225, 0, 5.789473684210528)",28.171996832358687,28.171996832358687,0,5,0.0028935185185185184,0.36111111111111116,0.19409722222222225,0.039728009259259345,0.9897280092592593,0.3559027777777778
50,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(2.972800925925934, 19.409722222222225, 0, 5.789473684210528)",28.171996832358687,28.171996832358687,0,5,0.0028935185185185184,0.36111111111111116,0.19409722222222225,0.039728009259259345,0.9897280092592593,0.3559027777777778
51,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
52,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
53,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
54,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
55,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
56,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
57,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
58,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
59,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
60,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
61,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
62,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
63,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
64,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
65,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
66,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
67,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
68,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
69,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.7858796296296298, 21.550925925925927, 0, 3.859649122807017)",29.196454678362574,29.196454678362574,0,2,0.0011574074074074073,0.3101851851851852,0.2155092592592593,0.0478587962962963,0.9021412037037037,0.33449074074074076
70,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.2916666666666585, 22.708333333333336, 1, 3.6842105263157903)",28.684210526315784,28.684210526315784,1,0,0.0,0.3055555555555556,0.22708333333333336,0.022916666666666585,0.9270833333333334,0.3229166666666667
71,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.2916666666666585, 22.708333333333336, 1, 3.6842105263157903)",28.684210526315784,28.684210526315784,1,0,0.0,0.3055555555555556,0.22708333333333336,0.022916666666666585,0.9270833333333334,0.3229166666666667
